02-28 11:19,40,951,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,80,2077,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,120,3323,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,160,4689,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,200,6245,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,240,7921,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,280,9729,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,320,11657,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,360,13705,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,400,15873,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,440,18188,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,480,20623,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,520,23178,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,560,25853,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,600,28648,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,640,31563,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,680,34598,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,720,37753,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,760,41028,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,800,44423,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,840,47940,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,880,51577,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,920,55334,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,960,59211,counting,data/random_rand100_v2.txt,RANDOM,100
02-28 11:19,1000,63210,counting,data/random_rand100_v2.txt,RANDOM,100
